"Algo","generacion","tipo","numero","genero","nacionalidad","promedio","actividad","materias","altura","peso","IMC","costo_materia","colegiatura","status","carga_academica","beca","descuento","colegiatura_real"
"633",2020,"P",10633,"M","EXT",83.3,"Cultura",7,174.6,71.9,23.59,100,700,"Regular","Sobrecarga","0%",1,700
"634",2020,"P",10634,"F","MEX",87.3,"Cultura",6,171,66.6,22.78,100,600,"Regular","Carga regular","50%",0.5,300
"635",2020,"P",10635,"O","EXT",77.9,"Cultura",6,174.5,72.9,23.94,100,600,"Regular","Carga regular","0%",1,600
"636",2020,"U",10636,"M","MEX",84.3,"Ninguna",7,173,63.8,21.32,150,1050,"Regular","Sobrecarga","0%",1,1050
"637",2020,"P",10637,"M","MEX",80.3,"Deportiva",6,172.2,69.4,23.4,100,600,"Regular","Carga regular","0%",1,600
"638",2020,"P",10638,"M","MEX",80.6,"Ninguna",6,174.1,72.2,23.82,100,600,"Regular","Carga regular","0%",1,600
"639",2020,"P",10639,"M","MEX",76.6,"Ninguna",6,169.3,71.1,24.81,100,600,"Regular","Carga regular","0%",1,600
"640",2020,"P",10640,"M","EXT",63.9,"Ninguna",7,168.3,68.6,24.22,100,700,"Bajo rendimiento","Sobrecarga","0%",1,700
"641",2020,"U",10641,"M","EXT",74.8,"Cultura",5,174.7,68.7,22.51,150,750,"Regular","Menor carga","0%",1,750
"642",2020,"U",10642,"M","EXT",82.3,"Deportiva",7,162.6,73.7,27.88,150,1050,"Regular","Sobrecarga","0%",1,1050
"643",2020,"U",10643,"F","MEX",78.2,"Deportiva",6,176.3,69.5,22.36,150,900,"Regular","Carga regular","0%",1,900
"644",2020,"P",10644,"M","MEX",80.5,"Cultura",5,177.7,68,21.53,100,500,"Regular","Menor carga","0%",1,500
"645",2020,"U",10645,"F","MEX",78.3,"Cultura",6,170.1,73,25.23,150,900,"Regular","Carga regular","0%",1,900
"646",2020,"P",10646,"O","MEX",69.6,"Deportiva",5,169.2,68.5,23.93,100,500,"Bajo rendimiento","Menor carga","0%",1,500
"647",2020,"U",10647,"M","MEX",78.5,"Ninguna",6,169.9,69.4,24.04,150,900,"Regular","Carga regular","0%",1,900
"648",2020,"U",10648,"O","MEX",78.2,"Ninguna",6,165,71.8,26.37,150,900,"Regular","Carga regular","0%",1,900
"649",2020,"P",10649,"M","MEX",85.1,"Deportiva",6,168.8,72.2,25.34,100,600,"Regular","Carga regular","40%",0.6,360
"650",2020,"P",10650,"M","MEX",74.4,"Ninguna",6,170.4,71.2,24.52,100,600,"Regular","Carga regular","0%",1,600
"651",2020,"U",10651,"F","MEX",79,"Ninguna",6,178.1,70.9,22.35,150,900,"Regular","Carga regular","0%",1,900
"652",2020,"U",10652,"M","MEX",82.5,"Cultura",5,167.6,70.6,25.13,150,750,"Regular","Menor carga","0%",1,750
"653",2020,"U",10653,"F","EXT",78.3,"Ninguna",7,169.1,66.1,23.12,150,1050,"Regular","Sobrecarga","0%",1,1050
"654",2020,"P",10654,"F","MEX",80.7,"Ninguna",6,170.2,69,23.82,100,600,"Regular","Carga regular","0%",1,600
"655",2020,"P",10655,"M","MEX",76.8,"Ninguna",5,168.3,71,25.07,100,500,"Regular","Menor carga","0%",1,500
"656",2020,"P",10656,"M","EXT",77.2,"Ninguna",5,175.7,73.1,23.68,100,500,"Regular","Menor carga","0%",1,500
"657",2020,"U",10657,"F","MEX",80.5,"Ninguna",6,167.8,69.8,24.79,150,900,"Regular","Carga regular","0%",1,900
"658",2020,"U",10658,"M","EXT",77.2,"Cultura",5,170.4,73.2,25.21,150,750,"Regular","Menor carga","0%",1,750
"659",2020,"U",10659,"F","MEX",83.9,"Cultura",5,168.5,70,24.65,150,750,"Regular","Menor carga","0%",1,750
"660",2020,"P",10660,"M","MEX",90.7,"Ninguna",6,174.1,68.4,22.57,100,600,"Regular","Carga regular","0%",1,600
"661",2020,"U",10661,"F","MEX",87.4,"Deportiva",5,165.2,70.5,25.83,150,750,"Regular","Menor carga","40%",0.6,450
"662",2020,"U",10662,"F","MEX",79.8,"Ninguna",7,180.7,69.3,21.22,150,1050,"Regular","Sobrecarga","0%",1,1050
"663",2020,"P",10663,"M","MEX",70.1,"Cultura",5,162.4,65.2,24.72,100,500,"Regular","Menor carga","0%",1,500
"664",2020,"P",10664,"M","MEX",81.7,"Cultura",5,167.1,66.9,23.96,100,500,"Regular","Menor carga","0%",1,500
"665",2020,"P",10665,"M","MEX",83.3,"Deportiva",6,167.9,71.4,25.33,100,600,"Regular","Carga regular","0%",1,600
"666",2020,"P",10666,"F","MEX",83,"Cultura",7,176,71.7,23.15,100,700,"Regular","Sobrecarga","0%",1,700
"667",2020,"U",10667,"M","EXT",80,"Ninguna",7,164,68.5,25.47,150,1050,"Regular","Sobrecarga","0%",1,1050
"668",2020,"U",10668,"F","EXT",76.4,"Cultura",5,168.5,72.1,25.39,150,750,"Regular","Menor carga","0%",1,750
"669",2020,"U",10669,"O","EXT",80.6,"Deportiva",6,171.1,69.4,23.71,150,900,"Regular","Carga regular","0%",1,900
"670",2020,"P",10670,"F","MEX",79.4,"Ninguna",6,169.3,68.9,24.04,100,600,"Regular","Carga regular","0%",1,600
"671",2020,"U",10671,"M","MEX",77.6,"Ninguna",5,166.5,69.1,24.93,150,750,"Regular","Menor carga","0%",1,750
"672",2020,"U",10672,"M","MEX",80.5,"Deportiva",6,175.2,68.7,22.38,150,900,"Regular","Carga regular","0%",1,900
"673",2020,"P",10673,"O","MEX",89.6,"Ninguna",5,167.4,71.5,25.51,100,500,"Regular","Menor carga","0%",1,500
"674",2020,"U",10674,"F","MEX",70.4,"Ninguna",6,166.1,69.1,25.05,150,900,"Regular","Carga regular","0%",1,900
"675",2020,"P",10675,"F","MEX",80.8,"Ninguna",7,174.7,71.7,23.49,100,700,"Regular","Sobrecarga","0%",1,700
"676",2020,"P",10676,"F","EXT",79.6,"Cultura",7,169.1,70.7,24.72,100,700,"Regular","Sobrecarga","0%",1,700
"677",2020,"P",10677,"M","MEX",73.6,"Ninguna",6,169.9,72.5,25.12,100,600,"Regular","Carga regular","0%",1,600
"678",2020,"U",10678,"F","MEX",81.5,"Deportiva",7,172.6,69.9,23.46,150,1050,"Regular","Sobrecarga","0%",1,1050
"679",2020,"U",10679,"M","MEX",79.1,"Ninguna",5,170.3,70.4,24.27,150,750,"Regular","Menor carga","0%",1,750
"680",2020,"P",10680,"F","MEX",81.2,"Deportiva",6,176.7,67.6,21.65,100,600,"Regular","Carga regular","0%",1,600
"681",2020,"U",10681,"F","MEX",68.6,"Ninguna",5,171.7,72.1,24.46,150,750,"Bajo rendimiento","Menor carga","0%",1,750
"682",2020,"P",10682,"F","MEX",80.5,"Ninguna",7,169.4,68.3,23.8,100,700,"Regular","Sobrecarga","0%",1,700
"683",2020,"U",10683,"F","MEX",84.3,"Ninguna",7,165,68.2,25.05,150,1050,"Regular","Sobrecarga","0%",1,1050
"684",2020,"U",10684,"O","EXT",82.6,"Ninguna",6,178.5,69.9,21.94,150,900,"Regular","Carga regular","0%",1,900
"685",2020,"P",10685,"F","EXT",65.6,"Ninguna",7,169.2,67.5,23.58,100,700,"Bajo rendimiento","Sobrecarga","0%",1,700
"686",2020,"P",10686,"O","MEX",74.2,"Cultura",7,172.6,72.3,24.27,100,700,"Regular","Sobrecarga","0%",1,700
"687",2020,"U",10687,"F","MEX",78.5,"Deportiva",6,174.5,70.8,23.25,150,900,"Regular","Carga regular","0%",1,900
"688",2020,"U",10688,"F","EXT",80.3,"Ninguna",5,171.4,68.5,23.32,150,750,"Regular","Menor carga","0%",1,750
"689",2020,"P",10689,"M","MEX",78.9,"Cultura",6,172.3,72.1,24.29,100,600,"Regular","Carga regular","0%",1,600
"690",2020,"P",10690,"M","MEX",78.9,"Ninguna",5,171.4,70,23.83,100,500,"Regular","Menor carga","0%",1,500
"691",2020,"U",10691,"F","MEX",85.3,"Ninguna",7,168.2,70.5,24.92,150,1050,"Regular","Sobrecarga","0%",1,1050
"692",2020,"P",10692,"M","MEX",83.1,"Ninguna",7,171.3,70,23.86,100,700,"Regular","Sobrecarga","0%",1,700
"693",2020,"P",10693,"F","MEX",79.3,"Cultura",7,168.3,71.1,25.1,100,700,"Regular","Sobrecarga","0%",1,700
"694",2020,"P",10694,"F","MEX",79.2,"Deportiva",6,171.3,70,23.86,100,600,"Regular","Carga regular","0%",1,600
"695",2020,"U",10695,"M","MEX",84.7,"Ninguna",7,165.8,70.5,25.65,150,1050,"Regular","Sobrecarga","0%",1,1050
"696",2020,"U",10696,"M","EXT",84.2,"Cultura",5,172,72.7,24.57,150,750,"Regular","Menor carga","0%",1,750
"697",2020,"P",10697,"F","MEX",77.7,"Cultura",6,168.5,71,25.01,100,600,"Regular","Carga regular","0%",1,600
"698",2020,"U",10698,"F","MEX",66.1,"Cultura",6,169.7,70.6,24.52,150,900,"Bajo rendimiento","Carga regular","0%",1,900
"699",2020,"U",10699,"M","EXT",80.9,"Deportiva",6,169.8,70.3,24.38,150,900,"Regular","Carga regular","0%",1,900
"700",2020,"U",10700,"F","MEX",76.2,"Deportiva",6,170.4,69.5,23.94,150,900,"Regular","Carga regular","0%",1,900
"701",2020,"P",10701,"M","MEX",84.5,"Cultura",6,167.1,68.4,24.5,100,600,"Regular","Carga regular","0%",1,600
"702",2020,"U",10702,"F","MEX",83.3,"Ninguna",6,171.5,69.6,23.66,150,900,"Regular","Carga regular","0%",1,900
"703",2020,"U",10703,"M","MEX",78.6,"Deportiva",6,173.7,69,22.87,150,900,"Regular","Carga regular","0%",1,900
"704",2020,"U",10704,"F","MEX",64.7,"Cultura",7,172.4,70.1,23.59,150,1050,"Bajo rendimiento","Sobrecarga","0%",1,1050
"705",2020,"U",10705,"M","MEX",78.1,"Cultura",6,170.4,71.1,24.49,150,900,"Regular","Carga regular","0%",1,900
"706",2020,"P",10706,"O","MEX",79.5,"Ninguna",6,172.5,70.2,23.59,100,600,"Regular","Carga regular","0%",1,600
"707",2020,"U",10707,"F","MEX",72.8,"Ninguna",6,173.1,70.9,23.66,150,900,"Regular","Carga regular","0%",1,900
"708",2020,"P",10708,"M","EXT",77.5,"Ninguna",6,172.4,70.5,23.72,100,600,"Regular","Carga regular","0%",1,600
"709",2020,"P",10709,"M","EXT",79.5,"Cultura",6,170.9,73,24.99,100,600,"Regular","Carga regular","0%",1,600
"710",2020,"U",10710,"F","MEX",82.9,"Cultura",6,168.3,71.1,25.1,150,900,"Regular","Carga regular","0%",1,900
"711",2020,"U",10711,"M","MEX",80.6,"Ninguna",6,170.8,66.7,22.86,150,900,"Regular","Carga regular","0%",1,900
"712",2020,"U",10712,"M","MEX",89.1,"Ninguna",5,172.5,70.5,23.69,150,750,"Regular","Menor carga","0%",1,750
"713",2020,"U",10713,"F","EXT",74.8,"Ninguna",5,164.5,68.9,25.46,150,750,"Regular","Menor carga","0%",1,750
"714",2020,"P",10714,"F","EXT",79.7,"Ninguna",6,172.6,67.9,22.79,100,600,"Regular","Carga regular","0%",1,600
"715",2020,"P",10715,"F","MEX",71.1,"Cultura",7,172.4,72.5,24.39,100,700,"Regular","Sobrecarga","0%",1,700
"716",2020,"U",10716,"F","MEX",75.6,"Deportiva",6,176.3,71.5,23,150,900,"Regular","Carga regular","0%",1,900
"717",2020,"U",10717,"F","MEX",85.4,"Ninguna",7,170.9,68.8,23.56,150,1050,"Regular","Sobrecarga","0%",1,1050
"718",2020,"P",10718,"F","MEX",82.6,"Deportiva",6,172.6,72,24.17,100,600,"Regular","Carga regular","0%",1,600
"719",2020,"U",10719,"F","EXT",81.2,"Deportiva",6,174.3,71.2,23.44,150,900,"Regular","Carga regular","0%",1,900
"720",2020,"U",10720,"M","MEX",78.3,"Ninguna",5,166.2,68.3,24.73,150,750,"Regular","Menor carga","0%",1,750
"721",2020,"U",10721,"O","MEX",80.4,"Deportiva",6,177.7,70.2,22.23,150,900,"Regular","Carga regular","0%",1,900
"722",2020,"U",10722,"F","EXT",86.1,"Ninguna",6,165.4,65.1,23.8,150,900,"Regular","Carga regular","0%",1,900
"723",2020,"U",10723,"M","MEX",81.4,"Ninguna",6,170.8,70,24,150,900,"Regular","Carga regular","0%",1,900
"724",2020,"U",10724,"F","MEX",75.2,"Ninguna",6,168.5,70.2,24.73,150,900,"Regular","Carga regular","0%",1,900
"725",2020,"U",10725,"F","MEX",79.3,"Ninguna",5,171.4,73.5,25.02,150,750,"Regular","Menor carga","0%",1,750
"726",2020,"P",10726,"M","MEX",85.6,"Deportiva",5,173.7,64.6,21.41,100,500,"Regular","Menor carga","40%",0.6,300
"727",2020,"P",10727,"F","MEX",84.5,"Cultura",5,175,70.7,23.09,100,500,"Regular","Menor carga","0%",1,500
"728",2020,"U",10728,"F","EXT",76.7,"Cultura",6,169.5,69.6,24.23,150,900,"Regular","Carga regular","0%",1,900
"729",2020,"U",10729,"M","MEX",71.9,"Ninguna",7,177.7,70.4,22.29,150,1050,"Regular","Sobrecarga","0%",1,1050
"730",2020,"P",10730,"F","MEX",74,"Ninguna",6,162.9,67.7,25.51,100,600,"Regular","Carga regular","0%",1,600
"731",2020,"P",10731,"M","MEX",84.3,"Ninguna",7,172.8,70.6,23.64,100,700,"Regular","Sobrecarga","0%",1,700
"732",2020,"U",10732,"M","MEX",73,"Ninguna",7,170.5,69.7,23.98,150,1050,"Regular","Sobrecarga","0%",1,1050
"733",2020,"P",10733,"M","MEX",80.1,"Deportiva",5,171,71.3,24.38,100,500,"Regular","Menor carga","0%",1,500
"734",2020,"U",10734,"F","MEX",89.3,"Cultura",5,175.6,70.4,22.83,150,750,"Regular","Menor carga","50%",0.5,375
"735",2020,"P",10735,"O","MEX",78.7,"Ninguna",7,171.2,66.4,22.65,100,700,"Regular","Sobrecarga","0%",1,700
"736",2020,"P",10736,"F","MEX",81.2,"Ninguna",6,170.3,67.9,23.41,100,600,"Regular","Carga regular","0%",1,600
"737",2020,"U",10737,"M","MEX",79.8,"Cultura",5,170.6,71.3,24.5,150,750,"Regular","Menor carga","0%",1,750
"738",2020,"U",10738,"M","MEX",82,"Ninguna",7,168.9,71.2,24.96,150,1050,"Regular","Sobrecarga","0%",1,1050
"739",2020,"U",10739,"M","MEX",77.2,"Ninguna",6,168.9,69.4,24.33,150,900,"Regular","Carga regular","0%",1,900
"740",2020,"U",10740,"F","MEX",80.4,"Ninguna",6,165.5,70.4,25.7,150,900,"Regular","Carga regular","0%",1,900
"741",2020,"P",10741,"F","MEX",85.3,"Ninguna",6,172.2,68,22.93,100,600,"Regular","Carga regular","0%",1,600
"742",2020,"P",10742,"F","EXT",84.9,"Deportiva",6,165.5,70.4,25.7,100,600,"Regular","Carga regular","0%",1,600
"743",2020,"P",10743,"M","MEX",77.1,"Cultura",7,173.6,73.3,24.32,100,700,"Regular","Sobrecarga","0%",1,700
"744",2020,"P",10744,"F","MEX",76.7,"Deportiva",6,166.8,70,25.16,100,600,"Regular","Carga regular","0%",1,600
"745",2020,"U",10745,"O","MEX",84.4,"Ninguna",6,165.7,68,24.77,150,900,"Regular","Carga regular","0%",1,900
"746",2020,"P",10746,"M","MEX",80.9,"Ninguna",6,170.6,70,24.05,100,600,"Regular","Carga regular","0%",1,600
"747",2020,"U",10747,"F","MEX",79.8,"Deportiva",6,163.7,70.1,26.16,150,900,"Regular","Carga regular","0%",1,900
"748",2020,"U",10748,"M","MEX",77.5,"Cultura",6,174.7,75.1,24.61,150,900,"Regular","Carga regular","0%",1,900
"749",2020,"P",10749,"F","MEX",76.9,"Cultura",6,165,72.2,26.52,100,600,"Regular","Carga regular","0%",1,600
"750",2020,"U",10750,"F","MEX",79.5,"Ninguna",6,167.7,70.9,25.21,150,900,"Regular","Carga regular","0%",1,900
"751",2020,"U",10751,"M","MEX",84.1,"Deportiva",6,167.6,69.3,24.67,150,900,"Regular","Carga regular","0%",1,900
"752",2020,"P",10752,"M","MEX",76.7,"Cultura",6,171.5,71.6,24.34,100,600,"Regular","Carga regular","0%",1,600
"753",2020,"U",10753,"M","MEX",72.7,"Cultura",7,169,71.2,24.93,150,1050,"Regular","Sobrecarga","0%",1,1050
"754",2020,"U",10754,"M","MEX",73.1,"Cultura",6,172.9,72.3,24.19,150,900,"Regular","Carga regular","0%",1,900
"755",2020,"U",10755,"M","MEX",77.1,"Ninguna",6,174.7,70.1,22.97,150,900,"Regular","Carga regular","0%",1,900
"756",2020,"U",10756,"M","MEX",88.4,"Ninguna",7,167.5,69.3,24.7,150,1050,"Regular","Sobrecarga","0%",1,1050
"757",2020,"U",10757,"F","MEX",79.1,"Cultura",6,168.9,69.1,24.22,150,900,"Regular","Carga regular","0%",1,900
"758",2020,"U",10758,"F","MEX",72.2,"Ninguna",5,170.9,67.9,23.25,150,750,"Regular","Menor carga","0%",1,750
"759",2020,"U",10759,"M","MEX",75.2,"Ninguna",5,176.9,68.7,21.95,150,750,"Regular","Menor carga","0%",1,750
"760",2020,"U",10760,"F","MEX",85,"Deportiva",6,171.7,70.1,23.78,150,900,"Regular","Carga regular","40%",0.6,540
"761",2020,"U",10761,"M","MEX",71.9,"Ninguna",5,170.7,69.5,23.85,150,750,"Regular","Menor carga","0%",1,750
"762",2020,"U",10762,"F","MEX",88.6,"Ninguna",5,176.4,71.6,23.01,150,750,"Regular","Menor carga","0%",1,750
"763",2020,"P",10763,"M","MEX",82.3,"Ninguna",6,170.7,68.1,23.37,100,600,"Regular","Carga regular","0%",1,600
"764",2020,"P",10764,"M","MEX",81.2,"Deportiva",7,168.8,73.9,25.94,100,700,"Regular","Sobrecarga","0%",1,700
"765",2020,"U",10765,"F","MEX",85,"Ninguna",6,167.9,70.3,24.94,150,900,"Regular","Carga regular","0%",1,900
"766",2020,"P",10766,"O","EXT",84.6,"Ninguna",5,177.3,67.6,21.5,100,500,"Regular","Menor carga","0%",1,500
"767",2020,"U",10767,"F","MEX",75.9,"Cultura",7,170.5,68.7,23.63,150,1050,"Regular","Sobrecarga","0%",1,1050
"768",2020,"U",10768,"F","MEX",78.8,"Cultura",6,169.3,71.8,25.05,150,900,"Regular","Carga regular","0%",1,900
"769",2020,"U",10769,"M","MEX",74,"Deportiva",5,171,71.8,24.55,150,750,"Regular","Menor carga","0%",1,750
"770",2020,"U",10770,"F","EXT",76.5,"Cultura",5,174.1,71.9,23.72,150,750,"Regular","Menor carga","0%",1,750
"771",2020,"P",10771,"F","MEX",79.2,"Ninguna",5,171.1,67.3,22.99,100,500,"Regular","Menor carga","0%",1,500
"772",2020,"U",10772,"M","MEX",77.2,"Ninguna",5,166.4,70.7,25.53,150,750,"Regular","Menor carga","0%",1,750
"773",2020,"U",10773,"O","MEX",74.2,"Ninguna",5,167.1,72.2,25.86,150,750,"Regular","Menor carga","0%",1,750
"774",2020,"U",10774,"M","MEX",73.7,"Ninguna",7,173.9,70.5,23.31,150,1050,"Regular","Sobrecarga","0%",1,1050
"775",2020,"U",10775,"F","EXT",83.4,"Ninguna",6,169.3,67.9,23.69,150,900,"Regular","Carga regular","0%",1,900
"776",2020,"P",10776,"F","MEX",73.9,"Ninguna",6,168.6,69.7,24.52,100,600,"Regular","Carga regular","0%",1,600
"777",2020,"P",10777,"M","MEX",86,"Ninguna",6,173.9,69.8,23.08,100,600,"Regular","Carga regular","0%",1,600
"778",2020,"U",10778,"F","MEX",88.1,"Deportiva",6,170.6,72.1,24.77,150,900,"Regular","Carga regular","40%",0.6,540
"779",2020,"U",10779,"F","MEX",82.8,"Cultura",6,168.8,72,25.27,150,900,"Regular","Carga regular","0%",1,900
"780",2020,"U",10780,"F","MEX",83.6,"Ninguna",6,166,72,26.13,150,900,"Regular","Carga regular","0%",1,900
"781",2020,"U",10781,"M","EXT",83.3,"Cultura",6,170.2,69.8,24.1,150,900,"Regular","Carga regular","0%",1,900
"782",2020,"U",10782,"M","MEX",77.2,"Deportiva",7,164.2,69.6,25.81,150,1050,"Regular","Sobrecarga","0%",1,1050
"783",2020,"U",10783,"M","MEX",75.6,"Ninguna",6,172.7,69.7,23.37,150,900,"Regular","Carga regular","0%",1,900
"784",2020,"U",10784,"M","EXT",75.4,"Ninguna",7,172.2,67,22.59,150,1050,"Regular","Sobrecarga","0%",1,1050
"785",2020,"U",10785,"M","MEX",82.7,"Cultura",6,171.6,70.7,24.01,150,900,"Regular","Carga regular","0%",1,900
"786",2020,"U",10786,"M","MEX",85.1,"Deportiva",6,173.1,70.7,23.6,150,900,"Regular","Carga regular","40%",0.6,540
"787",2020,"U",10787,"M","MEX",81.7,"Cultura",6,170.4,71.2,24.52,150,900,"Regular","Carga regular","0%",1,900
"788",2020,"U",10788,"O","MEX",72.2,"Ninguna",6,175.3,70.4,22.91,150,900,"Regular","Carga regular","0%",1,900
"789",2020,"U",10789,"M","EXT",73.1,"Cultura",5,171.6,69,23.43,150,750,"Regular","Menor carga","0%",1,750
"790",2020,"U",10790,"O","MEX",77.3,"Ninguna",6,172.2,70,23.61,150,900,"Regular","Carga regular","0%",1,900
"791",2020,"P",10791,"O","MEX",76.1,"Ninguna",6,171.4,68.6,23.35,100,600,"Regular","Carga regular","0%",1,600
"792",2020,"U",10792,"F","EXT",83.1,"Ninguna",6,170.3,69.2,23.86,150,900,"Regular","Carga regular","0%",1,900
"793",2020,"P",10793,"M","MEX",76.5,"Ninguna",6,165.3,64.5,23.61,100,600,"Regular","Carga regular","0%",1,600
"794",2020,"P",10794,"F","MEX",83,"Cultura",7,167.7,69.9,24.85,100,700,"Regular","Sobrecarga","0%",1,700
"795",2020,"P",10795,"F","MEX",88.1,"Ninguna",7,173.6,70.5,23.39,100,700,"Regular","Sobrecarga","0%",1,700
"796",2020,"U",10796,"M","MEX",78.3,"Ninguna",5,171.4,71.8,24.44,150,750,"Regular","Menor carga","0%",1,750
"797",2020,"U",10797,"F","MEX",78.2,"Cultura",6,167.4,71.7,25.59,150,900,"Regular","Carga regular","0%",1,900
"798",2020,"P",10798,"M","EXT",69.9,"Ninguna",5,174.5,70.1,23.02,100,500,"Bajo rendimiento","Menor carga","0%",1,500
"799",2020,"P",10799,"M","MEX",74.8,"Ninguna",6,166.6,67.8,24.43,100,600,"Regular","Carga regular","0%",1,600
"800",2020,"P",10800,"M","MEX",81.5,"Cultura",6,173.5,73.9,24.55,100,600,"Regular","Carga regular","0%",1,600
"801",2020,"U",10801,"F","MEX",88,"Deportiva",5,171.7,67.8,23,150,750,"Regular","Menor carga","40%",0.6,450
"802",2020,"U",10802,"F","MEX",76.8,"Ninguna",6,178.2,68,21.41,150,900,"Regular","Carga regular","0%",1,900
"803",2020,"U",10803,"F","MEX",71.5,"Ninguna",7,170.6,69.5,23.88,150,1050,"Regular","Sobrecarga","0%",1,1050
"804",2020,"U",10804,"M","MEX",78.4,"Deportiva",5,173.6,71.2,23.63,150,750,"Regular","Menor carga","0%",1,750
"805",2020,"P",10805,"M","MEX",79.7,"Ninguna",7,171.6,70.9,24.08,100,700,"Regular","Sobrecarga","0%",1,700
"806",2020,"U",10806,"F","MEX",83.3,"Cultura",6,169,70.1,24.54,150,900,"Regular","Carga regular","0%",1,900
"807",2020,"P",10807,"M","MEX",85.5,"Ninguna",7,169.9,70.6,24.46,100,700,"Regular","Sobrecarga","0%",1,700
"808",2020,"U",10808,"M","EXT",78.3,"Cultura",5,167.9,67.4,23.91,150,750,"Regular","Menor carga","0%",1,750
"809",2020,"U",10809,"F","MEX",81.6,"Cultura",5,168.7,70.4,24.74,150,750,"Regular","Menor carga","0%",1,750
"810",2020,"P",10810,"M","MEX",79.2,"Ninguna",7,165.9,71.7,26.05,100,700,"Regular","Sobrecarga","0%",1,700
"811",2020,"P",10811,"F","MEX",87.4,"Ninguna",7,171.3,71,24.2,100,700,"Regular","Sobrecarga","0%",1,700
"812",2020,"U",10812,"M","MEX",77.8,"Cultura",5,167.3,67.1,23.97,150,750,"Regular","Menor carga","0%",1,750
"813",2020,"P",10813,"F","MEX",86.1,"Deportiva",5,162.9,66.8,25.17,100,500,"Regular","Menor carga","40%",0.6,300
"814",2020,"U",10814,"M","MEX",75.1,"Ninguna",7,175.3,70.2,22.84,150,1050,"Regular","Sobrecarga","0%",1,1050
"815",2020,"P",10815,"F","MEX",75.3,"Ninguna",5,168.8,70.5,24.74,100,500,"Regular","Menor carga","0%",1,500
"816",2020,"U",10816,"M","EXT",91.2,"Ninguna",6,167.2,72.6,25.97,150,900,"Regular","Carga regular","0%",1,900
"817",2020,"U",10817,"M","MEX",86.9,"Ninguna",5,164.8,68.7,25.3,150,750,"Regular","Menor carga","0%",1,750
"818",2020,"U",10818,"F","MEX",77.5,"Ninguna",7,173.1,69.1,23.06,150,1050,"Regular","Sobrecarga","0%",1,1050
"819",2020,"P",10819,"F","MEX",80.6,"Ninguna",7,173.9,71.7,23.71,100,700,"Regular","Sobrecarga","0%",1,700
"820",2020,"U",10820,"F","MEX",79.4,"Cultura",7,174.7,71.6,23.46,150,1050,"Regular","Sobrecarga","0%",1,1050
"821",2020,"U",10821,"F","EXT",76.5,"Cultura",6,180.7,70.3,21.53,150,900,"Regular","Carga regular","0%",1,900
"822",2020,"U",10822,"O","MEX",83.2,"Cultura",6,170.4,68.9,23.73,150,900,"Regular","Carga regular","0%",1,900
"823",2020,"U",10823,"O","EXT",78.7,"Ninguna",7,169,71.5,25.03,150,1050,"Regular","Sobrecarga","0%",1,1050
"824",2020,"P",10824,"F","EXT",76.8,"Ninguna",5,172,71.6,24.2,100,500,"Regular","Menor carga","0%",1,500
"825",2020,"P",10825,"M","MEX",87.5,"Ninguna",7,164,71.5,26.58,100,700,"Regular","Sobrecarga","0%",1,700
"826",2020,"U",10826,"M","MEX",77.1,"Deportiva",7,171.5,71,24.14,150,1050,"Regular","Sobrecarga","0%",1,1050
"827",2020,"P",10827,"M","MEX",91.3,"Deportiva",7,175.2,72.9,23.75,100,700,"Regular","Sobrecarga","40%",0.6,420
"828",2020,"P",10828,"O","MEX",83.6,"Deportiva",6,173.3,72.7,24.21,100,600,"Regular","Carga regular","0%",1,600
"829",2020,"P",10829,"F","EXT",78.6,"Cultura",6,171.8,68.5,23.21,100,600,"Regular","Carga regular","0%",1,600
"830",2020,"U",10830,"M","MEX",74.1,"Ninguna",6,171.3,71.3,24.3,150,900,"Regular","Carga regular","0%",1,900
"831",2020,"U",10831,"F","MEX",82.1,"Ninguna",5,171.8,67.5,22.87,150,750,"Regular","Menor carga","0%",1,750
"832",2020,"U",10832,"F","MEX",77.2,"Ninguna",7,170.3,69.2,23.86,150,1050,"Regular","Sobrecarga","0%",1,1050
"833",2020,"U",10833,"F","EXT",76.8,"Ninguna",6,169.3,67,23.38,150,900,"Regular","Carga regular","0%",1,900
"834",2020,"P",10834,"M","MEX",80.8,"Cultura",6,169.4,72.7,25.33,100,600,"Regular","Carga regular","0%",1,600
"835",2020,"P",10835,"F","MEX",78.6,"Cultura",7,170.1,68.1,23.54,100,700,"Regular","Sobrecarga","0%",1,700
"836",2020,"U",10836,"F","EXT",75.1,"Ninguna",6,171.7,68.9,23.37,150,900,"Regular","Carga regular","0%",1,900
"837",2020,"P",10837,"F","MEX",68,"Ninguna",6,168.9,73.5,25.76,100,600,"Bajo rendimiento","Carga regular","0%",1,600
"838",2020,"U",10838,"F","MEX",92.7,"Deportiva",6,167.9,68.6,24.33,150,900,"Regular","Carga regular","40%",0.6,540
"839",2020,"P",10839,"F","EXT",73.6,"Ninguna",6,176.2,71.1,22.9,100,600,"Regular","Carga regular","0%",1,600
"840",2020,"P",10840,"M","MEX",77.4,"Deportiva",7,171.3,69.1,23.55,100,700,"Regular","Sobrecarga","0%",1,700
"841",2020,"U",10841,"M","MEX",77,"Deportiva",6,168.2,69.7,24.64,150,900,"Regular","Carga regular","0%",1,900
"842",2020,"U",10842,"M","MEX",83,"Deportiva",6,173.6,71.6,23.76,150,900,"Regular","Carga regular","0%",1,900
