Name,Platform,Year,Genre,Publisher,America,Europa, Japón 
Dance with Devils,PSV,2016,Action,N/A,0,0,0.01
TrackMania Turbo,PC,2016,Action,Ubisoft,0,0.01,0
The Technomancer,PC,2016,Role-Playing,Focus Home Interactive,0,0.01,0
Goat Simulator,XOne,2016,Simulation,Koch Media,0,0.01,0
Kamigami no Asobi InFinite,PSV,2016,Adventure,Broccoli,0,0,0.01
Assassin's Creed Chronicles,XOne,2016,Action,Ubisoft,0,0.01,0
Azure Striker Gunvolt: Striker Pack,3DS,2016,Action,Inti Creates,0,0,0.01
Total War Attila: Tyrants & Kings,PC,2016,Strategy,Koch Media,0,0.01,0
SÃ©bastien Loeb Rally Evo,XOne,2016,Racing,Milestone S.r.l,0,0.01,0
Hitman (2016),XOne,2016,Action,Square Enix,0,0.01,0
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,PS4,2016,Action,Namco Bandai Games,0,0,0.01
Codename: Panzers Complete Collection,PC,2016,Strategy,Nordic Games,0,0.01,0
Mighty No. 9,XOne,2016,Platform,Deep Silver,0.01,0,0
Resident Evil 4 HD,XOne,2016,Shooter,Capcom,0.01,0,0
Farming 2017 - The Simulation,PS4,2016,Simulation,UIG Entertainment,0,0.01,0
Rugby Challenge 3,XOne,2016,Sports,Alternative Software,0,0.01,0
Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,PSV,2016,Action,dramatic create,0,0,0.01
