nombre,artista,anio,duracion_seg,popularidad,energia,bailabilidad,positividad,acustica,instrumental,en_vivo,habla,volumen_db,tempo_bpm,tono_mayor,explicito
Doolin-Dalton - 2013 Remaster,Eagles,1973,207.1,51,0.297,0.566,0.178,0.514,4.08e-06,0.116,0.0281,-10.489,126.0,1,0
Fala,Secos & Molhados,1973,180.0,50,0.295,0.4,0.234,0.135,0.000162,0.297,0.0373,-14.375,121.6,1,0
Las Habladurias del Mundo,Pescado Rabioso,1973,243.3,50,0.434,0.462,0.537,0.0197,0.0604,0.508,0.0502,-12.799,105.1,1,0
Sorrow - 2015 Remaster,David Bowie,1973,173.5,50,0.535,0.661,0.687,0.438,1.62e-05,0.319,0.0677,-12.173,119.5,1,0
20th Century Boy,T. Rex,1973,221.3,48,0.899,0.428,0.724,0.00609,0.0,0.279,0.0462,-10.716,135.2,1,0
American Tune,Paul Simon,1973,225.1,47,0.208,0.383,0.219,0.818,3.36e-05,0.189,0.03,-16.035,84.7,1,0
One Way Street,Aerosmith,1973,420.1,46,0.731,0.453,0.641,0.0557,0.00395,0.162,0.0345,-9.848,132.2,1,0
You're My Home,Billy Joel,1973,193.4,46,0.518,0.566,0.659,0.178,9.67e-06,0.187,0.0283,-12.644,93.1,1,0
Make It,Aerosmith,1973,219.0,45,0.685,0.553,0.57,0.0151,0.149,0.19,0.0275,-10.981,137.9,1,0
Gimme Danger - Alternate 'Violent' Iggy Mix,The Stooges,1973,213.1,45,0.951,0.378,0.249,0.00329,0.419,0.135,0.0566,0.45,132.1,0,0
Impeach the President,The Honey Drippers,1973,238.6,43,0.733,0.688,0.877,0.525,0.0175,0.14,0.244,-5.768,95.7,1,0
The Ballad Of Danny Bailey (1909-1934) - Remastered 2014,Elton John,1973,263.3,41,0.661,0.495,0.669,0.402,0.00118,0.0827,0.0385,-9.645,79.9,1,0
Cindy Incidentally,Faces,1973,158.9,40,0.806,0.728,0.944,0.643,0.00564,0.0745,0.0502,-7.64,107.6,1,0
Keep Yourself Alive - 2011 Mix,Queen,1973,226.7,40,0.721,0.419,0.593,0.25,4.17e-05,0.104,0.0792,-9.498,134.2,1,0
Midnight Ravers - Original Album Version,Bob Marley & The Wailers,1973,308.1,39,0.732,0.786,0.898,0.426,0.000422,0.251,0.27,-7.361,139.2,0,0
Goodbye Yellow Brick Road - Remastered 2014,Elton John,1973,192.8,38,0.473,0.559,0.397,0.446,0.00141,0.154,0.0279,-7.712,121.2,1,0
Little Trip To Heaven (On The Wings Of Your Love),Tom Waits,1973,220.3,38,0.28,0.476,0.231,0.887,0.00181,0.154,0.0309,-12.23,70.6,1,0
Walkin' The Dog,Aerosmith,1973,192.3,38,0.79,0.648,0.763,0.05,0.284,0.183,0.0728,-11.749,125.1,1,0
"Damned For All Time / Blood Money - From ""Jesus Christ Superstar"" Soundtrack","Carl Anderson, Bob Bingham, Kurt Yaghjian",1973,277.4,35,0.63,0.421,0.194,0.537,0.0508,0.145,0.274,-12.258,90.4,1,0
Five Short Minutes,Jim Croce,1973,209.5,35,0.809,0.553,0.964,0.524,0.00251,0.0719,0.0308,-9.948,131.7,1,0
Nineteen Hundred And Eighty Five - Remastered 2010,Wings,1973,332.2,35,0.536,0.529,0.397,0.0106,0.727,0.344,0.0268,-11.55,115.3,0,0
Billy 4 - Remastered,Bob Dylan,1973,299.4,35,0.29,0.435,0.59,0.802,1.58e-06,0.0728,0.0315,-11.898,140.9,1,0
Careful Man,Jim Croce,1973,144.0,34,0.558,0.552,0.968,0.391,0.0152,0.0698,0.0436,-14.448,166.8,0,0
Speedball Tucker,Jim Croce,1973,146.9,33,0.702,0.67,0.893,0.322,0.0,0.113,0.0607,-12.915,169.9,1,0
"Nina, Pretty Ballerina",ABBA,1973,172.4,33,0.721,0.735,0.898,0.0674,0.0283,0.0629,0.0326,-10.72,125.2,1,0
Funny How Time Slips Away,Al Green,1973,335.3,33,0.302,0.708,0.63,0.444,2.11e-05,0.0802,0.049,-13.059,93.5,1,0
Meadows,Joe Walsh,1973,283.9,33,0.573,0.484,0.313,0.299,0.00393,0.261,0.0611,-16.622,113.6,1,0
"You Gave Me A Mountain - Live at The Honolulu International Center, Hawaii January 14, 1973",Elvis Presley,1973,197.4,33,0.483,0.331,0.478,0.521,0.11,0.677,0.0447,-11.776,145.3,1,0
Little Lamb Dragonfly - 2018 Remaster,Wings,1973,383.8,32,0.379,0.479,0.524,0.497,0.0,0.142,0.0261,-11.986,78.1,0,0
Law Of The Land,The Temptations,1973,301.0,32,0.497,0.691,0.876,0.245,3.54e-06,0.0447,0.0302,-14.177,113.6,1,0
Sad Song,Lou Reed,1973,415.8,32,0.627,0.218,0.173,0.738,0.035,0.0942,0.0339,-7.699,143.4,1,0
Cut My Hair,The Who,1973,224.3,31,0.494,0.469,0.408,0.331,0.0,0.0875,0.0439,-9.495,138.8,1,0
Doing Alright - Remastered 2011,Queen,1973,249.2,31,0.293,0.341,0.178,0.756,2.31e-05,0.0833,0.0356,-12.408,93.3,1,0
"An American Trilogy - Live at The Honolulu International Center, Hawaii January 14, 1973",Elvis Presley,1973,273.7,31,0.276,0.211,0.144,0.825,0.41,0.696,0.0492,-14.403,84.1,1,0
Lily of the West,Bob Dylan,1973,227.1,31,0.716,0.465,0.537,0.399,0.000162,0.0872,0.0366,-10.927,115.4,0,0
The Last Time,Bread,1973,250.3,31,0.502,0.446,0.758,0.723,4.36e-05,0.141,0.0454,-12.691,168.0,1,0
The Oppressed Song - Remastered 2001,The Wailers,1973,194.4,30,0.623,0.693,0.541,0.535,0.681,0.1,0.0454,-8.49,143.4,1,0
Black Byrd,Donald Byrd,1973,441.0,30,0.745,0.738,0.962,0.402,0.0562,0.105,0.0531,-9.49,120.6,1,0
The Lord Loves The One (That Loves The Lord) - 2014 Mix,George Harrison,1973,274.5,29,0.719,0.618,0.464,0.124,3.54e-05,0.125,0.0377,-9.945,116.1,1,0
Worse Comes to Worst,Billy Joel,1973,192.7,29,0.69,0.791,0.961,0.423,1.73e-05,0.0383,0.0403,-8.513,131.9,1,0
Country Dreamer - Remastered 2010,Wings,1973,189.7,29,0.307,0.52,0.677,0.691,1.39e-05,0.114,0.0405,-13.221,172.7,1,0
Farewell Andromeda (Welcome to My Morning),John Denver,1973,243.2,28,0.44,0.327,0.518,0.537,0.000161,0.179,0.0301,-11.891,83.0,1,0
I Can't Wait Much Longer,Robin Trower,1973,321.2,28,0.497,0.364,0.37,0.0124,0.000195,0.0741,0.0426,-12.402,136.6,0,0
Photo Finish,Chris LeDoux,1973,286.4,28,0.449,0.678,0.926,0.52,0.0,0.088,0.0393,-12.75,130.9,1,0
Dirty Little Girl - Remastered 2014,Elton John,1973,300.4,28,0.881,0.728,0.878,0.15,0.000832,0.119,0.0365,-6.518,132.0,1,0
I Write the Songs,Barry Manilow,1973,234.2,27,0.345,0.265,0.311,0.84,0.000612,0.0585,0.0288,-10.666,146.0,1,0
La Elisa,El Palomo Y El Gorrion,1973,189.1,26,0.568,0.529,0.938,0.572,0.0,0.0586,0.21,-6.574,203.2,1,0
Yonder Stands the Sinner - 2016 Remaster,Neil Young,1973,196.6,26,0.618,0.449,0.749,0.232,7.49e-06,0.693,0.155,-12.037,206.9,1,0
Bill Bailey (Vocal: Blanche Thomas),New Orleans Heritage Hall Jazz Band,1973,153.8,23,0.515,0.397,0.581,0.466,0.0,0.0864,0.0406,-5.225,173.6,1,0
Beauty In The River,The Ozark Mountain Daredevils,1973,234.9,22,0.491,0.699,0.979,0.751,2.8e-06,0.0815,0.032,-13.108,108.8,1,0
Colorado,Linda Ronstadt,1973,259.8,22,0.274,0.313,0.272,0.78,0.00149,0.0916,0.0318,-14.528,149.9,1,0
All Along The Watchtower,Bobby Womack,1973,201.7,21,0.7,0.647,0.579,0.000422,0.0664,0.0347,0.0436,-9.68,90.0,1,0
Zuckerman's Famous Pig,Irwin Kostal,1973,120.6,20,0.423,0.71,0.751,0.913,0.0,0.289,0.661,-12.16,121.4,1,0
Rebel Rebel - 2016 Remaster,David Bowie,1974,274.7,73,0.686,0.635,0.464,0.209,0.0176,0.282,0.053,-15.648,126.0,1,0
Triste,"Elis Regina, Antônio Carlos Jobim",1974,162.9,55,0.322,0.65,0.448,0.577,0.121,0.0712,0.122,-16.298,136.0,1,0
Seven Seas Of Rhye - Remastered 2011,Queen,1974,169.0,53,0.893,0.31,0.427,0.119,0.0176,0.248,0.107,-6.102,126.3,1,0
Walk On - 2016 Remaster,Neil Young,1974,162.1,48,0.463,0.415,0.665,0.657,1.57e-06,0.159,0.0355,-9.339,171.6,1,0
Sweet Surrender,John Denver,1974,329.4,46,0.444,0.192,0.613,0.843,0.00866,0.163,0.0338,-10.642,172.5,1,0
Free Man in Paris,Joni Mitchell,1974,183.1,45,0.62,0.59,0.661,0.558,0.0,0.0691,0.0363,-7.665,81.4,1,0
If Everyone Was Listening,Supertramp,1974,245.8,45,0.133,0.457,0.104,0.636,7.21e-06,0.0977,0.0327,-17.102,110.7,0,0
Summer Breeze,Ramsey Lewis,1974,290.4,44,0.515,0.622,0.707,0.363,0.913,0.12,0.0347,-11.282,87.8,0,0
I've Got to Find the Right Woman - Single Version,Redbone,1974,193.5,44,0.842,0.554,0.962,0.0927,0.0,0.12,0.0305,-5.75,102.7,0,0
Vientos del Pueblo,"Victor Jara, Inti-Illimani",1974,157.1,43,0.294,0.521,0.579,0.869,0.0,0.273,0.0314,-10.742,109.3,1,0
Killer Queen,Queen,1974,180.0,42,0.494,0.562,0.579,0.297,0.0,0.0685,0.0421,-11.523,117.1,1,0
Guinnevere,"Crosby, Stills, Nash & Young",1974,278.5,42,0.111,0.338,0.165,0.862,0.00995,0.12,0.0372,-18.994,109.2,0,0
Dos Cosas,Los Terricolas,1974,229.0,41,0.489,0.487,0.457,0.411,1.21e-05,0.138,0.0296,-6.457,79.7,0,0
Rudy,Supertramp,1974,440.8,41,0.263,0.426,0.25,0.351,0.00291,0.384,0.0493,-16.098,134.7,0,0
Lonely Comin' Down,Dolly Parton,1974,193.4,41,0.203,0.388,0.371,0.881,0.00989,0.105,0.0289,-13.834,162.5,1,0
Texas In My Rear View Mirror,Mac Davis,1974,255.3,40,0.379,0.539,0.751,0.366,0.0,0.173,0.107,-13.956,75.4,1,0
Long Tall Glasses (I Can Dance) - Remastered,Leo Sayer,1974,190.0,39,0.884,0.641,0.758,0.247,0.000316,0.132,0.06,-7.17,143.0,1,0
Sailing Shoes,Robert Palmer,1974,162.3,39,0.408,0.693,0.706,0.508,3.45e-05,0.161,0.0528,-13.019,94.6,1,0
"100,000 Years",KISS,1974,202.3,38,0.876,0.423,0.727,0.0244,0.282,0.15,0.0618,-6.985,103.6,0,0
The Makings of You (From the Original Motion Picture Soundtrack),Gladys Knight & The Pips,1974,144.2,38,0.255,0.445,0.439,0.724,0.00449,0.104,0.0348,-13.252,70.7,1,0
Cruisin' Down the Highway,James Gang,1974,195.5,38,0.765,0.498,0.902,0.00535,0.333,0.417,0.0505,-12.018,174.6,1,0
Ain't Too Proud To Beg - Remastered,The Rolling Stones,1974,210.6,38,0.906,0.588,0.889,0.686,0.0973,0.425,0.0441,-4.613,128.6,1,0
Le temps,Charles Aznavour,1974,164.1,37,0.619,0.317,0.27,0.504,3.03e-05,0.0713,0.0353,-5.967,84.5,0,0
They Won't Go When I Go,Stevie Wonder,1974,358.9,37,0.215,0.158,0.0369,0.878,0.368,0.124,0.0313,-12.594,78.6,0,0
Harmonium,Harmonium,1974,396.7,36,0.298,0.303,0.169,0.343,0.00275,0.0939,0.0451,-17.399,168.6,1,0
Excentrifugal Forz,Frank Zappa,1974,93.3,35,0.884,0.543,0.687,0.0113,0.00204,0.349,0.0738,-11.543,118.8,1,0
Mitternacht - 2009 Remaster,Kraftwerk,1974,225.9,32,0.145,0.39,0.0644,0.413,0.271,0.351,0.0469,-17.535,107.8,1,0
Stormbringer,Deep Purple,1974,246.2,32,0.831,0.338,0.653,0.0131,8.08e-06,0.229,0.0649,-11.448,177.7,0,0
The Boxer (with The Jessy Dixon Singers & Urubamba) - Live 1973,"Paul Simon, The Jessy Dixon Singers, Urubamba",1974,367.6,32,0.597,0.419,0.303,0.34,0.0868,0.703,0.0495,-9.789,92.8,0,0
Louisiana 1927 - Remastered,Randy Newman,1974,176.0,32,0.28,0.325,0.187,0.317,0.00291,0.159,0.0284,-11.715,134.1,1,0
Crystal Light - 2007 Remaster,UFO,1974,228.0,31,0.57,0.556,0.108,0.0314,0.000126,0.165,0.0368,-7.723,121.0,0,0
Funkia,"Ron Carter, Mickey Roker, Carlos Valdes, Michael Longo",1974,347.3,30,0.377,0.428,0.415,0.775,0.739,0.216,0.0319,-13.66,165.3,1,0
You Don't Know Me,Mickey Gilley,1974,183.4,30,0.275,0.531,0.309,0.781,0.0019,0.129,0.0268,-12.583,72.1,1,0
Hi De Ho Man,Cab Calloway,1974,183.0,29,0.332,0.455,0.806,0.911,0.0,0.138,0.0696,-12.832,144.7,0,0
Movin' On - 2015 Remaster,Bad Company,1974,204.3,28,0.816,0.647,0.94,0.493,0.0422,0.142,0.0347,-8.466,117.7,1,0
In The Lap Of The Gods... Revisited - Remastered 2011,Queen,1974,226.8,28,0.583,0.417,0.502,0.408,0.0,0.289,0.037,-8.606,132.3,1,0
The Old Man And Me,J.J. Cale,1974,124.2,27,0.143,0.708,0.477,0.579,0.578,0.111,0.0401,-21.037,95.0,0,0
Twilight Zone - Alternative Take,Van Morrison,1974,351.0,26,0.29,0.431,0.16,0.53,0.000131,0.0773,0.0377,-13.392,94.2,1,0
Give Her the Gun - 2007 Remaster,UFO,1974,239.4,26,0.905,0.416,0.65,8.19e-05,0.000842,0.205,0.101,-6.594,108.1,1,0
"Like a Rolling Stone - Live at LA Forum, Inglewood, CA - February 1974",Bob Dylan,1974,429.1,25,0.983,0.392,0.234,0.12,1.73e-05,0.99,0.207,-5.436,103.6,1,0
The Fairy Feller's Master-Stroke,Queen,1974,153.2,25,0.761,0.433,0.786,0.225,0.00428,0.674,0.063,-13.668,159.4,1,0
N.Y. Stars,Lou Reed,1974,239.8,25,0.801,0.491,0.645,0.0497,0.152,0.149,0.0635,-9.234,104.1,1,0
Hay Cráneo,Bobby Valentin,1974,238.3,25,0.634,0.665,0.941,0.694,1.01e-06,0.152,0.0418,-10.651,96.5,0,0
Kingfish - Remastered,Randy Newman,1974,164.7,25,0.411,0.393,0.348,0.745,6.08e-05,0.0824,0.0293,-8.921,94.0,1,0
Rated X,Miles Davis,1974,411.2,24,0.914,0.0734,0.124,0.0917,0.924,0.0377,0.0736,-8.921,179.9,1,0
New York's Not My Home,Jim Croce,1974,189.1,24,0.321,0.511,0.68,0.678,0.0397,0.116,0.0286,-15.522,131.2,1,0
Layla - Live At Hammersmith,"Eric Clapton, Jon Astley, Andy Macpherson",1974,326.7,24,0.843,0.399,0.858,9.33e-05,0.174,0.648,0.0331,-8.068,121.7,0,0
Phases and Stages (Theme) / Washing the Dishes,Willie Nelson,1974,102.3,23,0.0297,0.455,0.239,0.947,0.000525,0.137,0.0319,-20.179,86.4,1,0
Everything That Touches You - 2008 Remaster,Bonnie Raitt,1974,208.4,23,0.399,0.613,0.356,0.349,1.7e-06,0.346,0.0293,-9.612,130.3,0,0
Music,Yusuf / Cat Stevens,1974,261.2,23,0.805,0.525,0.827,0.25,0.00276,0.13,0.0541,-8.027,165.6,1,0
Beginning To See The Light,"The Velvet Underground, Lou Reed",1974,332.8,23,0.614,0.46,0.836,0.0117,0.404,0.121,0.0298,-11.961,136.4,1,0
Fever Dream,Loggins & Messina,1974,183.0,21,0.264,0.441,0.346,0.678,0.161,0.0796,0.0334,-15.855,110.9,0,0
Southern Comfort,Johnny Cash,1974,128.6,21,0.391,0.613,0.625,0.738,0.0,0.151,0.0287,-8.011,98.4,1,0
I'm a Changed Man (Finally Got Myself Together),The Impressions,1974,188.6,21,0.632,0.404,0.717,0.152,0.0,0.266,0.0343,-8.504,171.8,1,0
"The Last Time I Saw Richard - Live at Universal Amphitheatre, Los Angeles, CA, 8/14-17, 1974",Joni Mitchell,1974,215.4,21,0.133,0.507,0.465,0.837,1.61e-06,0.277,0.0353,-20.455,97.1,0,0
Rocky Mountain Breakdown,Poco,1974,136.0,21,0.622,0.605,0.767,0.0878,0.305,0.328,0.0369,-12.281,120.9,1,0
The South's Gonna Do It Again,The Charlie Daniels Band,1974,237.4,20,0.505,0.466,0.925,0.688,1.78e-06,0.259,0.0435,-15.575,164.4,1,0
"See What A Fool I've Been - Live BBC Session, London / July 1973 / 2011 Remix",Queen,1974,262.2,20,0.661,0.197,0.399,0.002,0.00466,0.235,0.0644,-8.954,172.3,1,0
Would You Like to Buy an O?,Ernie,1974,107.0,19,0.363,0.741,0.765,0.554,0.0,0.0726,0.313,-11.424,93.9,0,0
Tears of the Lonely,Mickey Gilley,1974,194.3,18,0.273,0.574,0.262,0.711,0.00359,0.249,0.0277,-14.213,83.6,1,0
Bohemian Rhapsody - 2011 Mix,Queen,1975,354.3,75,0.402,0.392,0.228,0.288,0.0,0.243,0.0536,-9.961,143.9,0,0
Love Will Keep Us Together,Captain & Tennille,1975,205.5,61,0.788,0.621,0.926,0.354,0.0,0.305,0.0314,-4.326,129.6,1,0
Magic Man,Heart,1975,328.4,59,0.444,0.435,0.734,0.159,0.000705,0.457,0.0336,-12.816,103.8,0,0
On the Road Again - Live,Willie Nelson,1975,153.1,57,0.724,0.714,0.802,0.55,0.101,0.826,0.042,-8.488,111.2,1,0
Love Me For What I Am,Carpenters,1975,210.3,56,0.181,0.362,0.265,0.866,0.0,0.186,0.0451,-15.216,146.4,1,0
Can't Hide Love,"Earth, Wind & Fire",1975,250.6,53,0.412,0.515,0.444,0.691,0.09,0.0907,0.033,-10.995,78.4,0,0
Send in the Clowns,Judy Collins,1975,240.9,51,0.0487,0.155,0.087,0.97,0.00104,0.188,0.0397,-16.942,67.1,1,0
Big Ten Inch Record,Aerosmith,1975,135.4,46,0.68,0.436,0.821,0.458,0.0,0.0711,0.109,-9.948,175.7,1,0
Got to Learn How to Dance,Fatback Band,1975,227.3,42,0.849,0.736,0.86,0.0705,0.684,0.344,0.095,-9.855,95.1,1,0
Walk On The Wild Side,Lou Reed,1975,292.2,42,0.451,0.567,0.501,0.585,0.000387,0.709,0.116,-17.533,94.7,1,0
And I Love You So,Elvis Presley,1975,219.1,41,0.332,0.485,0.39,0.129,0.0668,0.0687,0.0257,-13.288,81.7,1,0
Rose Darling,Steely Dan,1975,184.1,41,0.561,0.702,0.757,0.344,0.0,0.175,0.0313,-10.728,134.9,1,0
Another Green World - Remastered 2004,Brian Eno,1975,101.7,40,0.00383,0.171,0.458,0.795,0.883,0.0755,0.0464,-21.71,76.2,1,0
"Köln, January 24, 1975, Pt. II C - Live",Keith Jarrett,1975,416.8,40,0.688,0.27,0.219,0.973,0.884,0.669,0.0547,-16.305,75.8,1,0
Let Me Go,Chicago Gangsters,1975,167.0,40,0.624,0.261,0.473,0.0549,0.00388,0.0869,0.0359,-2.707,166.1,0,0
Bang-A-Boomerang,ABBA,1975,184.9,39,0.756,0.502,0.831,0.0262,0.00107,0.271,0.0306,-3.45,131.9,1,0
You And The Music,Donald Byrd,1975,321.7,38,0.71,0.672,0.962,0.331,0.315,0.0892,0.0506,-10.047,102.3,0,0
Tower Of Babel,Elton John,1975,268.4,36,0.487,0.531,0.31,0.178,1.44e-05,0.0525,0.0389,-10.203,157.8,0,0
Eggs And Sausage (In A Cadillac With Susan Michelson),Tom Waits,1975,258.3,36,0.511,0.539,0.338,0.868,6.05e-05,0.823,0.274,-9.981,117.0,0,0
Light Up,Styx,1975,259.5,35,0.533,0.384,0.566,0.103,6.26e-06,0.168,0.0456,-14.077,154.3,1,0
Rivendell,Rush,1975,297.1,35,0.0333,0.376,0.136,0.966,0.264,0.111,0.0515,-23.826,162.6,1,0
Searchin' for a Rainbow,The Marshall Tucker Band,1975,231.9,34,0.593,0.336,0.645,0.101,0.000134,0.107,0.0371,-7.796,188.1,1,0
Medicine Jar - 1993 Digital Remaster,Wings,1975,217.1,34,0.755,0.373,0.736,0.013,0.000113,0.445,0.0753,-10.624,139.0,0,0
Fencewalk,Mandrill,1975,332.2,33,0.591,0.587,0.961,0.314,0.0661,0.0681,0.0594,-10.735,105.8,1,0
Rip It Up / Ready Teddy - Remastered 2010,John Lennon,1975,94.3,33,0.725,0.442,0.964,0.483,2.19e-05,0.092,0.279,-8.305,200.6,1,0
For Lovin' Me / Did She Mention My Name,Gordon Lightfoot,1975,209.4,32,0.508,0.527,0.676,0.27,0.00782,0.176,0.0339,-15.364,103.6,1,0
Mona Lisa Lost Her Smile,David Allan Coe,1975,219.3,32,0.498,0.636,0.861,0.372,0.000144,0.0713,0.0275,-13.807,94.4,1,0
Monday Morning - 2017 Remaster,Fleetwood Mac,1975,168.5,31,0.814,0.609,0.881,0.00285,1.67e-05,0.267,0.0298,-8.141,106.9,1,0
Song For You,The Outlaws,1975,213.9,30,0.831,0.44,0.786,0.00147,5.07e-05,0.05,0.0255,-6.121,105.8,1,0
Harry's House / Centerpiece,Joni Mitchell,1975,408.2,30,0.49,0.48,0.251,0.406,3.76e-06,0.113,0.0267,-8.185,110.9,0,0
You Gave Me The Answer - 1993 Digital Remaster,Wings,1975,134.9,30,0.187,0.547,0.546,0.924,6.2e-05,0.217,0.0334,-17.142,83.6,1,0
"Stir It Up - Live At The Lyceum, London/July 17,1975",Bob Marley & The Wailers,1975,315.6,30,0.62,0.705,0.935,0.353,1.92e-05,0.356,0.0369,-11.576,91.0,1,0
T-R-O-U-B-L-E,Elvis Presley,1975,182.9,29,0.937,0.54,0.877,0.139,0.473,0.204,0.0405,-10.339,177.4,1,0
News - 2009 Remaster,Kraftwerk,1975,77.2,29,0.273,0.54,0.625,0.359,0.885,0.195,0.377,-17.38,105.5,1,0
Tum Aa Gaye Ho Noor Aa Gaya,"Lata Mangeshkar, Kishore Kumar",1975,252.4,29,0.337,0.409,0.473,0.971,5.67e-06,0.113,0.0306,-11.369,110.0,0,0
Let It Roll - 2007 Remaster,UFO,1975,237.2,29,0.814,0.286,0.36,0.000516,0.0274,0.0835,0.0485,-5.732,152.3,1,0
New Mama - 2016 Remaster,Neil Young,1975,131.5,29,0.0495,0.648,0.598,0.805,1.18e-05,0.148,0.0344,-19.892,75.7,0,0
(I'd Be) A Legend in My Time,Ronnie Milsap,1975,177.0,28,0.33,0.497,0.402,0.603,0.0,0.281,0.0279,-10.872,91.9,1,0
Simple Twist Of Fate,Joan Baez,1975,285.3,28,0.661,0.591,0.807,0.149,0.0,0.175,0.038,-9.326,119.6,1,0
"It's All over Now, Baby Blue - Live at Montreal Forum, Montreal, Quebec - December 1975",Bob Dylan,1975,274.0,28,0.503,0.471,0.157,0.652,0.00121,0.981,0.0434,-10.13,135.7,1,0
Saddle in the Rain,John Prine,1975,214.7,27,0.76,0.574,0.865,0.426,0.0,0.163,0.04,-11.092,110.3,0,0
Honey,Ohio Players,1975,319.7,27,0.575,0.474,0.437,0.233,3.95e-06,0.229,0.0703,-11.93,133.2,1,0
Redondo Beach,Patti Smith,1975,207.2,27,0.566,0.855,0.784,0.139,2.97e-05,0.208,0.106,-10.071,142.3,1,0
Nowhere's Too Far (For My Baby),Peter Frampton,1975,259.5,25,0.775,0.626,0.729,0.0108,0.0013,0.195,0.0285,-6.536,119.2,1,0
Vale Más Un Guaguancó,Ray Barretto,1975,262.6,25,0.554,0.591,0.925,0.277,1.11e-05,0.0736,0.0547,-8.562,96.6,1,0
However Much I Booze,The Who,1975,303.4,25,0.781,0.571,0.717,0.27,0.00937,0.174,0.0397,-10.288,126.1,1,0
Out in the Country,The Meters,1975,218.6,24,0.488,0.752,0.879,0.612,5.98e-05,0.0885,0.0871,-11.208,93.7,1,0
I Love My Rancho Grande,Freddy Fender,1975,170.6,24,0.595,0.81,0.824,0.376,0.00371,0.429,0.166,-7.848,113.3,1,0
Monday Morning - Early Take,Fleetwood Mac,1975,170.3,23,0.769,0.686,0.891,0.0198,0.000729,0.113,0.0354,-9.364,106.4,1,0
Hard Times,Curtis Mayfield,1975,223.8,23,0.525,0.833,0.89,0.127,0.00103,0.0774,0.164,-9.869,158.9,0,0
Child of Innocence,Kansas,1975,274.6,23,0.73,0.276,0.759,0.101,1.79e-06,0.401,0.0813,-8.04,168.6,0,0
What Am I Waiting For,The O'Jays,1975,236.5,23,0.609,0.535,0.629,0.638,0.00133,0.791,0.0652,-8.423,140.7,0,0
Side Effects,Parliament,1975,192.9,22,0.736,0.761,0.941,0.581,1.73e-06,0.158,0.0874,-8.606,111.1,1,0
Exorcist - Remastered Version,Richard Pryor,1975,113.3,22,0.775,0.42,0.319,0.792,2.61e-06,0.973,0.955,-13.291,82.0,1,1
Wild Dogs,Tommy Bolin,1975,280.1,22,0.794,0.227,0.391,0.177,0.789,0.394,0.0504,-6.754,80.1,1,0
6 O'Clock Bad News,Cecilio & Kapono,1975,183.3,21,0.403,0.669,0.806,0.291,0.000165,0.101,0.0377,-16.349,144.1,0,0
Naturally - Remastered,kalapana,1975,267.2,21,0.339,0.383,0.435,0.465,3.18e-06,0.0604,0.0294,-14.424,132.1,1,0
Kentucky Gambler,Merle Haggard & The Strangers,1975,162.5,20,0.57,0.378,0.851,0.723,1.67e-05,0.151,0.114,-12.024,198.9,1,0
It's a Mystery,Average White Band,1975,234.9,20,0.46,0.639,0.497,0.475,1.9e-05,0.355,0.0338,-13.81,87.4,1,0
Behind Blue Eyes - Live,The Who,1975,221.9,19,0.834,0.348,0.323,0.245,0.00012,0.915,0.0806,-9.436,137.9,1,0
Dirty Deeds Done Dirt Cheap,AC/DC,1976,231.9,73,0.906,0.668,0.507,0.214,0.00229,0.135,0.17,-4.881,135.7,0,0
Livin' Thing,Electric Light Orchestra,1976,212.3,70,0.651,0.549,0.368,0.583,0.0,0.121,0.0323,-7.097,122.8,1,0
Coney Island Baby,Lou Reed,1976,395.2,57,0.432,0.536,0.474,0.547,9.93e-05,0.128,0.0364,-9.495,80.3,1,0
"Knowing Me, Knowing You",ABBA,1976,243.9,53,0.741,0.55,0.903,0.0426,3.72e-06,0.235,0.0299,-7.109,107.3,1,0
La Creciente,Binomio de Oro,1976,182.7,50,0.683,0.708,0.966,0.549,0.0,0.0847,0.0879,-3.664,146.7,1,0
I'm Straight,The Modern Lovers,1976,258.5,49,0.444,0.56,0.493,0.377,0.0,0.149,0.0875,-9.664,138.2,1,0
I Put A Spell On You,Creedence Clearwater Revival,1976,272.2,48,0.57,0.251,0.674,0.000397,0.0879,0.107,0.0339,-11.191,207.2,1,0
Show You the Way to Go,The Jacksons,1976,327.7,46,0.615,0.663,0.671,0.374,0.0266,0.642,0.0323,-10.78,109.4,1,0
The Wreck of the Edmund Fitzgerald - Single Version,Gordon Lightfoot,1976,358.0,46,0.323,0.303,0.228,0.391,3e-06,0.295,0.0568,-16.144,185.8,1,0
A Love of Your Own,Average White Band,1976,336.0,45,0.544,0.523,0.603,0.394,0.000438,0.0699,0.0316,-7.89,134.5,1,0
Commotion,Creedence Clearwater Revival,1976,162.4,44,0.608,0.667,0.765,0.0064,0.0143,0.169,0.0267,-9.461,127.1,1,0
A Mellow Mood for Maidenhair,Mort Garson,1976,137.1,42,0.208,0.189,0.197,0.843,0.926,0.271,0.0317,-14.174,154.0,0,0
Stay - 2016 Remaster,David Bowie,1976,376.9,42,0.902,0.519,0.624,0.021,0.000742,0.294,0.051,-9.962,119.1,1,0
Ebony Eyes,Stevie Wonder,1976,248.9,42,0.61,0.577,0.932,0.0791,0.0,0.377,0.0424,-10.559,207.1,1,0
We're All Alone,The Walker Brothers,1976,275.9,40,0.398,0.345,0.264,0.355,0.003,0.13,0.0313,-13.383,123.1,1,0
