"type","title","rating","duration","listed_in","country","date_added","release_year"
"TV Show","History of Swear Words","TV-MA","1 Season","Docuseries, TV Comedies","United States","January 5, 2021",2021
"TV Show","Nailed It! Mexico","TV-PG","3 Seasons","International TV Shows, Reality TV, Spanish-Language TV Shows","Mexico, United States","January 5, 2021",2021
"TV Show","Korean Pork Belly Rhapsody","TV-G","1 Season","Docuseries, International TV Shows",NA,"January 4, 2021",2020
"TV Show","QB1: Beyond the Lights","TV-14","1 Season","Docuseries","United States","January 4, 2021",2019
"TV Show","Cobra Kai","TV-14","3 Seasons","TV Action & Adventure, TV Comedies, TV Dramas","United States","January 1, 2021",2021
"TV Show","Dream Home Makeover","TV-G","2 Seasons","Reality TV","United States","January 1, 2021",2021
"TV Show","Headspace Guide to Meditation","TV-G","1 Season","Docuseries, Science & Nature TV","United States","January 1, 2021",2021
"TV Show","Jenni Rivera: Mariposa de Barrio","TV-MA","1 Season","Spanish-Language TV Shows, TV Dramas","United States","January 1, 2021",2017
"TV Show","Monarca","TV-MA","2 Seasons","International TV Shows, Spanish-Language TV Shows, TV Dramas","Mexico","January 1, 2021",2021
"TV Show","Running Man","TV-Y7","1 Season","Kids' TV, TV Comedies",NA,"January 1, 2021",2020
"TV Show","The Cat in the Hat Knows a Lot About That!","TV-Y","1 Season","Kids' TV","Canada, United Kingdom, United States","January 1, 2021",2014
"TV Show","The Haunted Hathaways","TV-G","2 Seasons","Kids' TV, TV Comedies, TV Sci-Fi & Fantasy","United States","January 1, 2021",2013
"TV Show","Chilling Adventures of Sabrina","TV-14","4 Seasons","TV Horror, TV Mysteries, TV Sci-Fi & Fantasy","United States","December 31, 2020",2020
"TV Show","Best Leftovers Ever!","TV-G","1 Season","Reality TV","United States","December 30, 2020",2020
"TV Show","Dare Me","TV-MA","1 Season","Crime TV Shows, TV Dramas, TV Thrillers","United States","December 30, 2020",2019
"TV Show","Equinox","TV-MA","1 Season","International TV Shows, TV Mysteries, TV Thrillers","Denmark, United States","December 30, 2020",2020
"TV Show","SanPa: Sins of the Savior","TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows","Italy","December 30, 2020",2020
"TV Show","Still Game","TV-14","9 Seasons","British TV Shows, Classic & Cult TV, International TV Shows","United Kingdom","December 30, 2020",2018
"TV Show","Transformers: War for Cybertron: Earthrise","TV-Y7","1 Season","Anime Series",NA,"December 30, 2020",2020
"TV Show","A Love So Beautiful","TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","South Korea","December 28, 2020",2020
"TV Show","Sakho & Mangane","TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","Senegal","December 27, 2020",2019
"TV Show","Regiment Diaries","TV-PG","2 Seasons","Docuseries, International TV Shows","India","December 26, 2020",2020
"TV Show","Bridgerton","TV-MA","1 Season","Romantic TV Shows, TV Dramas","United States","December 25, 2020",2020
"TV Show","Lovestruck in the City","TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","South Korea","December 22, 2020",2020
"TV Show","Rhyme Time Town Singalongs","TV-Y","1 Season","Kids' TV","United States","December 22, 2020",2020
"TV Show","Shaun the Sheep","TV-Y","2 Seasons","British TV Shows, Kids' TV, TV Comedies","United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland","December 22, 2020",2016
"TV Show","Timmy Time","TV-Y","1 Season","British TV Shows, Kids' TV","United Kingdom","December 22, 2020",2010
"TV Show","Diamond City","TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","South Africa","December 18, 2020",2019
"TV Show","Home for Christmas","TV-MA","2 Seasons","International TV Shows, Romantic TV Shows, TV Comedies","Norway","December 18, 2020",2020
"TV Show","Paava Kadhaigal","TV-MA","1 Season","International TV Shows, TV Dramas","India","December 18, 2020",2020
"TV Show","Morphle","TV-Y","2 Seasons","British TV Shows, Kids' TV","Netherlands","December 17, 2020",2020
"TV Show","Run On","TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","South Korea","December 17, 2020",2020
"TV Show","Schulz Saves America","TV-MA","1 Season","Stand-Up Comedy & Talk Shows, TV Comedies","United States","December 17, 2020",2020
"TV Show","Anitta: Made In Honório","TV-MA","1 Season","Docuseries, International TV Shows","Brazil","December 16, 2020",2020
"TV Show","BREAK IT ALL: The History of Rock in Latin America","TV-MA","1 Season","Docuseries, Spanish-Language TV Shows",NA,"December 16, 2020",2020
"TV Show","How To Ruin Christmas","TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas","South Africa","December 16, 2020",2020
"TV Show","Marvel Anime: Wolverine","TV-14","1 Season","Anime Series, International TV Shows","United States, Japan","December 16, 2020",2011
"TV Show","Marvel Anime: X-Men","TV-14","1 Season","Anime Series, International TV Shows","Japan","December 16, 2020",2011
"TV Show","The Ripper","TV-MA","1 Season","British TV Shows, Crime TV Shows, Docuseries","United Kingdom","December 16, 2020",2020
"TV Show","Black Ink Crew New York","TV-14","2 Seasons","Reality TV","United States","December 15, 2020",2014
"TV Show","Pup Academy","TV-Y","2 Seasons","Kids' TV, TV Comedies","United States","December 15, 2020",2020
"TV Show","Song Exploder","TV-MA","2 Seasons","Docuseries","United States","December 15, 2020",2020
"TV Show","Teen Mom 2","TV-14","2 Seasons","Reality TV","United States","December 15, 2020",2011
"TV Show","The Challenge","TV-14","2 Seasons","Reality TV","United States","December 15, 2020",2006
"TV Show","Hilda","TV-Y7","2 Seasons","Kids' TV","United Kingdom, Canada, United States","December 14, 2020",2021
"TV Show","Tiny Pretty Things","TV-MA","1 Season","TV Dramas, TV Mysteries, TV Thrillers","United States","December 14, 2020",2020
"TV Show","Children of Adam","TV-14","1 Season","International TV Shows, TV Dramas, TV Thrillers","Lebanon","December 12, 2020",2020
"TV Show","Grizzy et les Lemmings","TV-Y","2 Seasons","Kids' TV, TV Comedies","France","December 12, 2020",2018
"TV Show","The Mess You Leave Behind","TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Dramas","Spain","December 11, 2020",2020
"TV Show","Alice in Borderland","TV-MA","1 Season","International TV Shows, TV Action & Adventure, TV Mysteries","Japan","December 10, 2020",2020
"TV Show","Futmalls.com","TV-14","1 Season","Crime TV Shows, International TV Shows, TV Dramas",NA,"December 10, 2020",2020
"TV Show","Masameer Classics","TV-14","4 Seasons","International TV Shows, TV Comedies","Saudi Arabia","December 9, 2020",2013
"TV Show","Once Upon a Time","TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","Egypt","December 9, 2020",2019
"TV Show","The Big Show Show","TV-G","2 Seasons","Kids' TV, TV Comedies","United States","December 9, 2020",2020
"TV Show","The Expanding Universe of Ashley Garcia","TV-PG","3 Seasons","Kids' TV, TV Comedies, Teen TV Shows","United States","December 9, 2020",2020
"TV Show","The Surgeon's Cut","TV-14","1 Season","Docuseries, Science & Nature TV","United States","December 9, 2020",2020
"TV Show","Juman","TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","Kuwait","December 8, 2020",2019
"TV Show","Mr. Iglesias","TV-14","3 Seasons","TV Comedies, Teen TV Shows","United States","December 8, 2020",2020
"TV Show","100 Days My Prince","TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","South Korea","December 7, 2020",2018
"TV Show","Manhunt: Deadly Games","TV-14","1 Season","Crime TV Shows, TV Dramas, TV Mysteries",NA,"December 7, 2020",2020
"TV Show","Room 2806: The Accusation","TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows","France","December 7, 2020",2020
"TV Show","Detention","TV-MA","1 Season","International TV Shows, TV Dramas, TV Horror","Taiwan","December 5, 2020",2020
"TV Show","Bhaag Beanie Bhaag","TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","India","December 4, 2020",2020
"TV Show","Big Mouth","TV-MA","4 Seasons","TV Comedies","United States","December 4, 2020",2020
"TV Show","Kings of Jo'Burg","TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","South Africa","December 4, 2020",2020
"TV Show","The Great British Baking Show: Holidays","TV-MA","3 Seasons","British TV Shows, Reality TV",NA,"December 4, 2020",2020
"TV Show","Alien Worlds","TV-PG","1 Season","British TV Shows, Docuseries, International TV Shows","United Kingdom","December 2, 2020",2020
"TV Show","Check The Store Next Door: The Next Chapter","TV-14","2 Seasons","International TV Shows, TV Comedies, TV Dramas","Indonesia","December 2, 2020",2020
"TV Show","Are You The One","TV-14","2 Seasons","Reality TV","United States","December 1, 2020",2014
"TV Show","Gormiti","TV-Y","1 Season","Kids' TV","Spain, Italy","December 1, 2020",2018
"TV Show","Ink Master","TV-14","2 Seasons","Reality TV","United States","December 1, 2020",2012
"TV Show","Octonauts","TV-Y","4 Seasons","British TV Shows, Kids' TV","United States, Ireland, United Kingdom, India","December 1, 2020",2015
"TV Show","Oddbods","TV-Y","1 Season","Kids' TV, TV Comedies","United Kingdom, Singapore","December 1, 2020",2017
"TV Show","Stargate SG-1","TV-MA","10 Seasons","Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy","United States, Canada","December 1, 2020",2006
"TV Show","The Bachelorette","TV-14","1 Season","Reality TV, Romantic TV Shows","United States","December 1, 2020",2010
"TV Show","The Guest","TV-14","1 Season","International TV Shows, TV Horror, TV Mysteries","South Korea","December 1, 2020",2018
"TV Show","The Holiday Movies That Made Us","TV-PG","1 Season","Docuseries","United States","December 1, 2020",2020
"TV Show","The Repair Shop","TV-PG","1 Season","British TV Shows, Reality TV","United Kingdom","December 1, 2020",2018
"TV Show","The Uncanny Counter","TV-14","1 Season","International TV Shows, TV Action & Adventure, TV Dramas","South Korea","November 29, 2020",2020
"TV Show","Fabulous Lives of Bollywood Wives","TV-MA","1 Season","International TV Shows, Reality TV","India","November 27, 2020",2020
"TV Show","Heartbreak High","TV-14","7 Seasons","International TV Shows, TV Dramas, Teen TV Shows","Australia","November 27, 2020",1999
"TV Show","Over Christmas","TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Germany","November 27, 2020",2020
"TV Show","Sugar Rush Christmas","TV-14","2 Seasons","Reality TV","United States","November 27, 2020",2020
"TV Show","Great Pretender","TV-MA","2 Seasons","Anime Series, Crime TV Shows, International TV Shows","Japan","November 25, 2020",2020
"TV Show","Before 30","TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Nigeria","November 24, 2020",2015
"TV Show","Valentino","TV-14","1 Season","International TV Shows, TV Comedies, TV Dramas","Egypt","November 24, 2020",2020
"TV Show","Strongest Deliveryman","TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","South Korea","November 23, 2020",2017
"TV Show","Flavorful Origins","TV-G","3 Seasons","Docuseries, International TV Shows","China","November 20, 2020",2020
"TV Show","Heart & Soul","TV-14","1 Season","International TV Shows, TV Dramas",NA,"November 20, 2020",2019
"TV Show","Mismatched","TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","India","November 20, 2020",2020
"TV Show","Voices of Fire","TV-PG","1 Season","Docuseries, Reality TV","United States","November 20, 2020",2020
"TV Show","Holiday Home Makeover with Mr. Christmas","TV-G","1 Season","Reality TV","United States","November 18, 2020",2020
"TV Show","The Boss Baby: Back in Business","TV-Y7","4 Seasons","Kids' TV, TV Comedies","United States","November 17, 2020",2020
"TV Show","We Are the Champions","TV-MA","1 Season","Docuseries, Reality TV","United States","November 17, 2020",2020
"TV Show","America's Next Top Model","TV-14","2 Seasons","Reality TV","United States","November 15, 2020",2013
"TV Show","Beyblade Burst Rise","TV-Y","1 Season","Anime Series, Kids' TV","Japan","November 15, 2020",2019
"TV Show","Polly Pocket","TV-Y","2 Seasons","Kids' TV","Canada, United States, Ireland","November 15, 2020",2021
"TV Show","Survivor","TV-14","2 Seasons","Reality TV","United States","November 15, 2020",2014
"TV Show","The Crown","TV-MA","4 Seasons","British TV Shows, International TV Shows, TV Dramas","United Kingdom, United States","November 15, 2020",2020
"TV Show","American Horror Story","TV-MA","9 Seasons","TV Horror, TV Mysteries, TV Thrillers","United States","November 13, 2020",2019
"TV Show","The Minions of Midas","TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Spain","November 13, 2020",2020
"TV Show","Ethos","TV-MA","1 Season","International TV Shows, TV Dramas","Turkey","November 12, 2020",2020
"TV Show","Graceful Friends","TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","South Korea","November 12, 2020",2020
"TV Show","A Queen Is Born","TV-14","1 Season","International TV Shows, Reality TV","Brazil","November 11, 2020",2020
"TV Show","Aunty Donna's Big Ol' House of Fun","TV-MA","1 Season","TV Comedies","Australia","November 11, 2020",2020
"TV Show","The Liberator","TV-MA","1 Season","TV Action & Adventure, TV Dramas","United States","November 11, 2020",2020
"TV Show","Trial 4","TV-MA","1 Season","Crime TV Shows, Docuseries","United States","November 11, 2020",2020
"TV Show","A Lion in the House","TV-14","1 Season","TV Shows","United States","November 10, 2020",2006
"TV Show","DASH & LILY","TV-14","1 Season","Romantic TV Shows, TV Comedies, TV Dramas","United States","November 10, 2020",2020
"TV Show","Bakugan: Armored Alliance","TV-Y7","1 Season","Anime Series, Kids' TV",NA,"November 6, 2020",2020
"TV Show","Bakugan: Battle Planet","TV-PG","1 Season","Anime Series, Kids' TV","Japan, Canada, United States","November 6, 2020",2018
"TV Show","Country Ever After","TV-PG","1 Season","Reality TV","United States","November 6, 2020",2020
"TV Show","Wrong Kind of Black","TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas","Australia","November 6, 2020",2018
"TV Show","Carmel: Who Killed Maria Marta?","TV-14","1 Season","Crime TV Shows, Docuseries, International TV Shows","Argentina","November 5, 2020",2020
"TV Show","Paranormal","TV-14","1 Season","International TV Shows, TV Dramas, TV Horror","Egypt","November 5, 2020",2020
"TV Show","Love & Anarchy","TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Sweden","November 4, 2020",2020
"TV Show","Can You Hear Me?","TV-MA","2 Seasons","International TV Shows, TV Comedies, TV Dramas","Canada","November 2, 2020",2020
"TV Show","60 Days In","TV-MA","1 Season","Reality TV","United States","November 1, 2020",2019
"TV Show","Dawson's Creek","TV-14","6 Seasons","Romantic TV Shows, TV Dramas, Teen TV Shows","United States","November 1, 2020",2002
"TV Show","Forged in Fire","TV-14","1 Season","Reality TV","United States","November 1, 2020",2019
"TV Show","Leah Remini: Scientology and the Aftermath","TV-14","3 Seasons","Docuseries","United States","November 1, 2020",2018
"TV Show","LEGO Jurassic World: Legend of Isla Nublar","TV-Y","1 Season","Kids' TV","United States","November 1, 2020",2019
"TV Show","LEGO Jurassic World: Secret Exhibit","TV-Y","1 Season","Kids' TV","United States","November 1, 2020",2018
"TV Show","LEGO Ninjago","TV-Y7","2 Seasons","Kids' TV","Canada","November 1, 2020",2020
"TV Show","LEGO Ninjago: Masters of Spinjitzu","TV-Y7","10 Seasons","Kids' TV","Denmark, Singapore, Canada, United States","November 1, 2020",2019
"TV Show","LEGO: CITY Adventures","TV-Y","1 Season","Kids' TV, TV Comedies","United States, France, Denmark","November 1, 2020",2019
"TV Show","The Garfield Show","TV-Y","4 Seasons","Kids' TV, TV Comedies","France, United States","November 1, 2020",2018
"TV Show","The Good Detective","TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","South Korea","November 1, 2020",2020
"TV Show","Voice","TV-14","2 Seasons","Crime TV Shows, International TV Shows, Korean TV Shows","South Korea","November 1, 2020",2018
"TV Show","Afronta! Facing It!","TV-PG","1 Season","Docuseries, International TV Shows","Brazil","October 31, 2020",2017
"TV Show","Zumbo's Just Desserts","TV-PG","1 Season","International TV Shows, Reality TV","Australia","October 31, 2020",2019
"TV Show","Kongsuni and Friends","TV-Y","2 Seasons","Kids' TV, Korean TV Shows",NA,"October 30, 2020",2020
"TV Show","Marvel's Agents of S.H.I.E.L.D.","TV-14","7 Seasons","TV Action & Adventure, TV Sci-Fi & Fantasy","United States","October 30, 2020",2020
"TV Show","Somebody Feed Phil","TV-14","4 Seasons","Docuseries, Reality TV","United States","October 30, 2020",2020
"TV Show","Suburra: Blood on Rome","TV-MA","3 Seasons","Crime TV Shows, International TV Shows, TV Dramas","Italy","October 30, 2020",2020
"TV Show","Blood of Zeus","TV-MA","1 Season","Anime Series","United States","October 27, 2020",2020
"TV Show","Chico Bon Bon: Monkey with a Tool Belt","TV-Y","4 Seasons","Kids' TV","United States","October 27, 2020",2020
"TV Show","The Devil Punisher","TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Mysteries","Taiwan","October 26, 2020",2020
"TV Show","Barbarians","TV-MA","1 Season","International TV Shows, TV Action & Adventure, TV Dramas","Germany","October 23, 2020",2020
"TV Show","Move","TV-MA","1 Season","Docuseries, International TV Shows","United States","October 23, 2020",2020
"TV Show","Stolen Away","TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Spain","October 23, 2020",2020
"TV Show","The Queen's Gambit","TV-MA","1 Season","TV Dramas","United States","October 23, 2020",2020
"TV Show","My Next Guest Needs No Introduction With David Letterman","TV-MA","3 Seasons","Stand-Up Comedy & Talk Shows","United States","October 21, 2020",2020
"TV Show","Unsolved Mysteries","TV-MA","2 Seasons","Crime TV Shows, Docuseries",NA,"October 19, 2020",2020
"TV Show","Start-Up","TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","South Korea","October 18, 2020",2020
"TV Show","Grand Army","TV-MA","1 Season","TV Dramas, Teen TV Shows","United States","October 16, 2020",2020
"TV Show","La Révolution","TV-MA","1 Season","International TV Shows, TV Action & Adventure, TV Dramas","France","October 16, 2020",2020
"TV Show","Someone Has to Die","TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Mexico, Spain","October 16, 2020",2020
"TV Show","The Last Kids on Earth","TV-Y7","3 Seasons","Kids' TV, TV Comedies","United States","October 16, 2020",2020
"TV Show","Fireman Sam","TV-Y","4 Seasons","British TV Shows, Kids' TV","United Kingdom","October 15, 2020",2018
"TV Show","Half & Half","TV-14","4 Seasons","TV Comedies","United States","October 15, 2020",2005
"TV Show","One on One","TV-14","5 Seasons","TV Comedies, Teen TV Shows","United States","October 15, 2020",2006
"TV Show","Power Rangers Beast Morphers","TV-Y7","2 Seasons","Kids' TV","United States","October 15, 2020",2020
"TV Show","Social Distance","TV-MA","1 Season","TV Comedies, TV Dramas","United States","October 15, 2020",2020
"TV Show","The Cabin with Bert Kreischer","TV-MA","1 Season","Reality TV, TV Comedies","United States","October 13, 2020",2020
"TV Show","Kipo and the Age of Wonderbeasts","TV-Y7","3 Seasons","Kids' TV, TV Comedies","United States","October 12, 2020",2020
"TV Show","Deaf U","TV-MA","1 Season","Docuseries","United States","October 9, 2020",2020
"TV Show","The Haunting of Bly Manor","TV-MA","1 Season","TV Dramas, TV Horror, TV Mysteries","United States","October 9, 2020",2020
"TV Show","Do Do Sol Sol La La Sol","TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","South Korea","October 8, 2020",2020
"TV Show","Private Lives","TV-14","1 Season","Crime TV Shows, International TV Shows, TV Dramas","South Korea","October 8, 2020",2020
"TV Show","The 100","TV-MA","7 Seasons","TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","United States, Canada","October 8, 2020",2020
"TV Show","To the Lake","TV-MA","1 Season","International TV Shows, TV Dramas, TV Mysteries","Russia","October 7, 2020",2020
"TV Show","Bad Boy Billionaires: India","TV-14","1 Season","British TV Shows, Docuseries, International TV Shows","India","October 5, 2020",2020
"TV Show","Pat a Pat Como","TV-Y","1 Season","Kids' TV",NA,"October 3, 2020",2016
"TV Show","Qurious Como","TV-Y","1 Season","Kids' TV",NA,"October 3, 2020",2017
"TV Show","DreamWorks Happy Holidays from Madagascar","TV-PG","1 Season","Kids' TV, TV Comedies","United States","October 2, 2020",2005
"TV Show","Emily in Paris","TV-MA","1 Season","Romantic TV Shows, TV Comedies, TV Dramas","United States","October 2, 2020",2020
"TV Show","H2O: Just Add Water","TV-PG","3 Seasons","Kids' TV, TV Dramas","Australia","October 2, 2020",2009
"TV Show","Evil","TV-14","1 Season","TV Dramas","United States","October 1, 2020",2019
"TV Show","Familiar Wife","TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","South Korea","October 1, 2020",2018
"TV Show","Food Wars!: Shokugeki no Soma","TV-MA","2 Seasons","Anime Series, International TV Shows, Teen TV Shows","Japan","October 1, 2020",2016
"TV Show","Good Morning, Verônica","TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Mysteries","Brazil","October 1, 2020",2020
"TV Show","Journey of an African Colony","TV-MA","1 Season","Docuseries, International TV Shows",NA,"October 1, 2020",2018
"TV Show","Oktoberfest: Beer & Blood","TV-MA","1 Season","International TV Shows, TV Dramas","Germany, Czech Republic","October 1, 2020",2020
"TV Show","Secreto bien guardado","TV-MA","1 Season","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","Argentina","October 1, 2020",2019
"TV Show","Sword Art Online","TV-MA","3 Seasons","Anime Series, International TV Shows","Japan","October 1, 2020",2018
"TV Show","The Parkers","TV-PG","5 Seasons","TV Comedies","United States","October 1, 2020",2003
"TV Show","The Unicorn","TV-14","1 Season","TV Comedies, TV Dramas","United States","October 1, 2020",2019
"TV Show","You Cannot Hide","TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Mexico","October 1, 2020",2020
"TV Show","Black Butler","TV-MA","3 Seasons","Anime Series, International TV Shows","Japan","September 30, 2020",2010
"TV Show","Man with a Plan","TV-PG","4 Seasons","TV Comedies","United States","September 30, 2020",2020
"TV Show","Wentworth","TV-MA","8 Seasons","Crime TV Shows, TV Dramas","Australia","September 30, 2020",2020
"TV Show","Whose Vote Counts, Explained","TV-PG","1 Season","Docuseries","United States","September 28, 2020",2020
"TV Show","Van Helsing","TV-MA","4 Seasons","International TV Shows, TV Action & Adventure, TV Dramas","United States","September 27, 2020",2019
"TV Show","The Good Place","TV-14","4 Seasons","TV Comedies","United States","September 26, 2020",2020
"TV Show","A Perfect Crime","TV-14","1 Season","Crime TV Shows, Docuseries, International TV Shows","Germany","September 25, 2020",2020
"TV Show","Mighty Little Bheem","TV-Y","3 Seasons","Kids' TV, TV Comedies",NA,"September 25, 2020",2020
"TV Show","Sneakerheads","TV-MA","1 Season","TV Comedies","United States","September 25, 2020",2020
"TV Show","The School Nurse Files","TV-MA","1 Season","International TV Shows, TV Dramas, TV Mysteries","South Korea","September 25, 2020",2020
"TV Show","The Chef Show","TV-MA","4 Seasons","Docuseries","United States","September 24, 2020",2020
"TV Show","The Playbook","TV-MA","1 Season","Docuseries","United States","September 22, 2020",2020
"TV Show","Fukrey Boyzzz","TV-Y","1 Season","Kids' TV, TV Comedies",NA,"September 19, 2020",2020
"TV Show","Ratched","TV-MA","1 Season","TV Dramas, TV Horror, TV Mysteries","United States","September 18, 2020",2020
"TV Show","The American Barbecue Showdown","TV-G","1 Season","Reality TV","United States","September 18, 2020",2020
"TV Show","The Blacklist","TV-14","7 Seasons","Crime TV Shows, TV Dramas, TV Thrillers","United States","September 18, 2020",2019
"TV Show","Dragon's Dogma","TV-MA","1 Season","Anime Series, International TV Shows",NA,"September 17, 2020",2020
"TV Show","The Last Word","TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas","Germany","September 17, 2020",2020
"TV Show","Baby","TV-MA","3 Seasons","International TV Shows, TV Dramas, Teen TV Shows","Italy","September 16, 2020",2020
"TV Show","Challenger","TV-14","1 Season","Docuseries, Science & Nature TV","United States","September 16, 2020",2020
"TV Show","Criminal: UK","TV-MA","2 Seasons","British TV Shows, Crime TV Shows, International TV Shows","United Kingdom, France, Germany, Spain","September 16, 2020",2020
"TV Show","Signs","TV-MA","2 Seasons","Crime TV Shows, International TV Shows, TV Dramas","Poland","September 16, 2020",2020
"TV Show","Sing On!","TV-PG","1 Season","Reality TV","United States","September 16, 2020",2020
"TV Show","Call the Midwife","TV-MA","9 Seasons","British TV Shows, International TV Shows, TV Dramas","United Kingdom","September 15, 2020",2020
"TV Show","Taco Chronicles","TV-MA","2 Seasons","Docuseries, International TV Shows, Reality TV","United States","September 15, 2020",2020
"TV Show","Buddi","TV-Y","2 Seasons","British TV Shows, Kids' TV","United Kingdom, China","September 11, 2020",2020
"TV Show","Family Business","TV-MA","2 Seasons","International TV Shows, TV Comedies, TV Dramas","France","September 11, 2020",2020
"TV Show","Girlfriends","TV-14","8 Seasons","TV Comedies","United States","September 11, 2020",2007
"TV Show","The Barrier","TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Dramas","Spain","September 11, 2020",2020
"TV Show","The Duchess","TV-MA","1 Season","British TV Shows, International TV Shows, TV Comedies","United Kingdom","September 11, 2020",2020
"TV Show","Greenleaf","TV-14","5 Seasons","TV Dramas","United States","September 10, 2020",2020
"TV Show","Julie and the Phantoms","TV-G","1 Season","Kids' TV, TV Comedies","United States","September 10, 2020",2020
"TV Show","Get Organized with The Home Edit","TV-PG","1 Season","Reality TV","United States","September 9, 2020",2020
"TV Show","La Línea: Shadow of Narco","TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows","Spain","September 9, 2020",2020
"TV Show","Record of Youth","TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","South Korea","September 8, 2020",2020
"TV Show","Transformers: Cyberverse","TV-Y7","2 Seasons","Kids' TV",NA,"September 7, 2020",2020
"TV Show","Cleverman","TV-MA","1 Season","TV Dramas, TV Sci-Fi & Fantasy, TV Thrillers","Australia, New Zealand, United States","September 5, 2020",2017
"TV Show","Away","TV-14","1 Season","Romantic TV Shows, TV Dramas, TV Sci-Fi & Fantasy","United States","September 4, 2020",2020
"TV Show","Spirit Riding Free: Riding Academy","TV-Y7","2 Seasons","Kids' TV","United States","September 4, 2020",2020
"TV Show","Young Wallander","TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","United Kingdom","September 3, 2020",2020
"TV Show","Chef's Table: BBQ","TV-14","1 Season","Docuseries, Reality TV","United States","September 2, 2020",2020
"TV Show","The Witcher: A Look Inside the Episodes","TV-MA","1 Season","Docuseries, TV Sci-Fi & Fantasy",NA,"September 2, 2020",2020
"TV Show","Blue Exorcist","TV-MA","2 Seasons","Anime Series, International TV Shows","Japan","September 1, 2020",2017
"TV Show","Bookmarks","TV-Y","1 Season","Kids' TV","United States","September 1, 2020",2020
"TV Show","Borgen","TV-MA","3 Seasons","International TV Shows, TV Dramas","Denmark","September 1, 2020",2012
"TV Show","Erased","TV-14","1 Season","Anime Series, International TV Shows, TV Thrillers","Japan","September 1, 2020",2016
"TV Show","Felipe Esparza: Bad Decisions","TV-MA","1 Season","Stand-Up Comedy & Talk Shows, TV Comedies","United States","September 1, 2020",2020
"TV Show","H","TV-MA","4 Seasons","International TV Shows, TV Comedies","France","September 1, 2020",2002
"TV Show","Heidi","TV-Y7","1 Season","Kids' TV","France, Australia, Germany","September 1, 2020",2020
"TV Show","Sister, Sister","TV-PG","6 Seasons","TV Comedies, Teen TV Shows","United States","September 1, 2020",1998
"TV Show","The Promised Neverland","TV-14","1 Season","Anime Series, International TV Shows, TV Thrillers","Japan","September 1, 2020",2019
"TV Show","Thomas and Friends","TV-Y","2 Seasons","British TV Shows, Classic & Cult TV, Kids' TV","United Kingdom","September 1, 2020",2020
"TV Show","I AM A KILLER: RELEASED","TV-MA","1 Season","British TV Shows, Crime TV Shows, Docuseries","United Kingdom, United States","August 28, 2020",2020
"TV Show","Masaba Masaba","TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas","India","August 28, 2020",2020
"TV Show","Aggretsuko","TV-14","3 Seasons","Anime Series, International TV Shows","Japan","August 27, 2020",2020
